lang_pair,source_lang,target_lang,n_shards_in,n_shards_out,rows_total,rows_scored,rows_failed,mean_score,elapsed_sec
asm_Beng-mal_Mlym,asm_Beng,mal_Mlym,1,1,736809,736803,6,0.4501,25161.5
jav_Latn-mal_Mlym,jav_Latn,mal_Mlym,1,1,137269,137268,1,0.2170,6282.0
nso_Latn-tsn_Latn,nso_Latn,tsn_Latn,1,1,193467,193413,54,0.4598,8379.6
hne_Deva-pan_Guru,hne_Deva,pan_Guru,1,1,70493,70482,11,0.5913,3194.3
mal_Mlym-mya_Mymr,mal_Mlym,mya_Mymr,1,1,284076,284056,20,0.5394,10300.9
swc_Latn-xho_Latn,swc_Latn,xho_Latn,1,1,139702,139685,17,0.6844,6205.5
amh_Ethi-aze_Latn,amh_Ethi,aze_Latn,1,1,49000,48997,3,0.4590,2782.8
run_Latn-xho_Latn,run_Latn,xho_Latn,1,1,222342,222304,38,0.5520,9078.6
asm_Beng-mlg_Latn,asm_Beng,mlg_Latn,1,1,16685,16685,0,0.6504,935.1
ary_Arab-als_Latn,ary_Arab,als_Latn,1,1,107489,107465,24,0.6262,4114.5
nep_Deva-yor_Latn,nep_Deva,yor_Latn,1,1,61742,61741,1,0.5035,2261.0
lug_Latn-xho_Latn,lug_Latn,xho_Latn,1,1,112155,112120,35,0.3397,4593.3
ewe_Latn-tir_Ethi,ewe_Latn,tir_Ethi,1,1,113328,113323,5,0.6361,4092.6
nep_Deva-zul_Latn,nep_Deva,zul_Latn,1,1,39461,39459,2,0.4478,1685.5
amh_Ethi-azj_Latn,amh_Ethi,azj_Latn,1,1,73816,73786,30,0.6033,3086.2
ary_Arab-isl_Latn,ary_Arab,isl_Latn,1,1,73632,73625,7,0.6925,2936.4
amh_Ethi-cym_Latn,amh_Ethi,cym_Latn,1,1,91004,91003,1,0.6600,1671.5
kin_Latn-xho_Latn,kin_Latn,xho_Latn,1,1,338099,338015,84,0.4472,14176.7
amh_Ethi-epo_Latn,amh_Ethi,epo_Latn,1,1,70523,70501,22,0.7451,894.5
som_Latn-yor_Latn,som_Latn,yor_Latn,1,1,350222,350188,34,0.5025,14545.8
run_Latn-yor_Latn,run_Latn,yor_Latn,1,1,118398,118370,28,0.2312,5702.3
lug_Latn-yor_Latn,lug_Latn,yor_Latn,1,1,103079,103058,21,0.3118,5094.6
nno_Latn-als_Latn,nno_Latn,als_Latn,1,1,56257,55990,267,0.6074,3546.8
hye_Armn-als_Latn,hye_Armn,als_Latn,1,1,156174,156131,43,0.6644,6712.4
ary_Arab-mar_Deva,ary_Arab,mar_Deva,1,1,47354,47352,2,0.2461,2733.9
swc_Latn-zul_Latn,swc_Latn,zul_Latn,1,1,152248,152226,22,0.6878,6643.8
asm_Beng-nep_Deva,asm_Beng,nep_Deva,1,1,146187,146163,24,0.4323,6623.3
nso_Latn-xho_Latn,nso_Latn,xho_Latn,1,1,189031,189004,27,0.5001,8225.9
mkd_Cyrl-swh_Latn,mkd_Cyrl,swh_Latn,1,1,394280,394066,214,0.6533,16692.4
ary_Arab-swh_Latn,ary_Arab,swh_Latn,1,1,42538,42527,11,0.3269,1833.2
jav_Latn-mkd_Cyrl,jav_Latn,mkd_Cyrl,1,1,204852,204618,234,0.2472,9258.1
azj_Latn-als_Latn,azj_Latn,als_Latn,1,1,357188,356889,299,0.7106,15872.4
